Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2021-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
Djibouti,DJI,"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.46535537694134,4.17356883161586,4.38680144955178,3.38678318315807,4.20211987539983,3.72128028766751,3.73247688902391,2.86445900785556,4.16864659380535,3.39929586014326,12.3099935316947,6.82903245301263,7.73674222676371,,,
Denmark,DNK,"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.38932116535404,8.13017400624872,7.26766498691277,4.85543505676047,5.18689530102685,5.06552730414543,4.74158786739526,4.67812300225812,7.13576976225474,8.31090388284046,9.18059035739224,9.87293496566438,10.0096301617315,,,
Dominican Republic,DOM,"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51994716557755,1.13420136371256,1.25823633364386,1.22913584231189,1.25851267176509,1.39012407633137,1.40722498663818,1.47856479523312,,,
Algeria,DZA,"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18868904461476,0.15854464594468,0.199481656501509,0.192454504327407,0.170339018036472,0.191739007679206,0.309461389343014,0.303755523917315,0.327979309199905,0.311346013486095,0.33615133676904,0.37210735935377,0.353296618881981,,,
East Asia & Pacific (excluding high income),EAP,"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,EAR,"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40914743085357,0.450225455058336,0.44726074110227,0.405014056649665,0.385048065580695,0.394060674621943,0.42169059526444,0.467340421738552,0.45603227899898,0.493622681525491,0.522913823054327,0.361766316435678,0.38762735192958,,,
East Asia & Pacific,EAS,"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93021261004579,3.00387163767374,3.05643152842338,1.97257848522648,1.98272182634189,1.70703587029494,2.79504187556,2.54745136909767,2.59982695493456,2.79257461880209,2.85376047289869,2.94681188161428,2.84888658569459,,,
Europe & Central Asia,ECS,"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.45627327026563,3.66099964545336,3.41083459550745,2.8291196297529,2.99458735020496,3.05254801908162,3.51268425106163,3.4583113698181,3.6132316928028,3.79573429856054,4.01185868759511,4.05979630144765,4.17493217880446,,,
Ecuador,ECU,"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Egypt, Arab Rep.",EGY,"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
